,Churn
185,1
2715,0
3825,0
1807,1
132,0
1263,1
3732,0
1672,0
811,1
2526,1
2892,0
4129,0
2622,0
3801,1
4357,0
6179,1
5275,1
4640,1
833,0
5194,1
3328,0
101,0
6298,0
1090,0
1744,0
6486,1
6370,1
1882,0
3469,0
2310,0
6185,0
2726,0
696,0
1483,0
1158,0
3032,0
7037,0
4645,1
6112,0
4395,1
1662,1
1345,0
4343,1
6119,0
2873,1
1084,0
177,1
5556,1
4810,1
6608,1
393,0
6006,0
3107,0
1817,0
1075,0
2653,0
2164,0
3872,0
1317,0
3254,0
3425,0
3658,0
3513,0
2177,0
3593,1
4852,0
1375,0
2533,0
3914,0
3012,0
6633,1
321,0
742,1
1149,1
1188,0
2903,0
4333,0
2576,0
2977,0
2678,0
37,0
1795,1
1328,0
5972,1
2579,0
3172,1
2638,1
4464,1
676,0
5421,0
5060,0
6685,0
535,0
6180,0
233,0
1379,0
734,0
3802,0
2167,1
4714,0
1042,0
5810,1
3406,0
6010,0
2110,0
1509,1
2742,0
3077,0
319,0
2929,0
1057,1
1153,0
6026,0
50,0
5574,0
1862,0
6003,0
511,0
435,0
5955,0
3399,0
2333,0
2354,0
6151,1
4350,0
3518,0
5653,1
2283,1
764,0
543,1
3129,0
2323,1
5698,1
2654,1
2758,0
5313,0
5070,1
3710,0
263,0
4900,1
2206,1
2963,0
6283,1
1397,0
6699,0
2402,0
3668,0
6340,0
429,0
5735,0
3904,0
3381,0
5057,0
6833,0
1414,0
6359,0
230,0
3932,1
5478,0
789,0
472,0
1079,0
245,0
1536,0
2239,0
4466,1
544,1
1302,0
6744,0
4189,0
3422,0
408,1
79,0
4844,0
3934,0
5354,0
6611,0
1606,0
1223,1
473,0
3276,1
932,0
4739,0
468,0
6261,0
3862,0
3185,1
3837,1
3078,1
3437,0
3103,1
2080,0
6737,0
3218,0
5749,0
1452,0
3615,1
217,0
4235,0
4086,0
6411,0
3299,0
3256,0
5736,0
5753,0
4660,1
4032,0
3936,0
3360,1
5823,0
1406,0
4407,0
3916,0
1443,0
4631,1
994,0
3855,0
4791,0
332,0
6059,0
1287,0
4359,0
3204,0
5612,0
5979,0
1061,0
4439,0
2351,0
3527,1
711,0
2704,0
3285,0
5495,1
3263,0
970,1
2299,0
2954,1
752,0
3782,0
2943,0
4608,0
5642,0
1144,1
5477,0
3977,0
5314,0
3149,0
3592,1
239,0
5489,0
3887,1
3289,0
4913,0
5010,0
4096,0
3910,1
3412,0
2034,0
2509,0
3295,0
5404,0
3142,1
6779,0
3063,0
6057,0
6580,0
4672,0
2692,0
6534,0
1965,1
2585,0
6527,1
2683,1
842,1
2572,0
3880,0
1820,0
1087,0
5107,0
2746,0
503,0
6248,0
3045,0
4274,0
4527,1
585,1
6933,1
937,1
5159,0
437,0
5014,0
4374,0
4047,0
3573,0
5819,0
2574,1
169,0
6035,1
5533,0
1916,1
5048,0
957,0
1025,0
6393,0
4205,0
1616,0
6621,0
3948,0
2691,0
1650,1
1870,0
5357,0
179,0
2412,1
3559,0
3494,1
3968,0
4652,0
6131,1
6178,0
31,0
3653,0
5128,0
1330,0
2519,0
733,0
168,1
2298,0
1451,0
3601,0
2149,0
5141,0
2087,1
2741,1
6076,0
6469,0
4936,0
4689,0
2118,0
4398,0
5067,0
3433,0
2676,0
2609,1
1097,1
4864,0
5682,0
1219,0
6485,0
2851,0
4951,0
3319,1
2759,0
381,1
6586,0
4375,0
3240,1
1599,0
6773,1
4446,1
3626,0
3639,0
6269,0
2445,0
4251,0
1410,1
2029,1
2303,1
6388,1
80,1
1174,0
3305,0
6267,1
5844,0
95,1
576,0
2542,0
6477,0
2405,1
4453,1
5251,1
592,0
6309,0
4264,0
4198,0
3332,1
5640,1
5916,0
1867,1
496,0
1020,0
2627,0
7036,0
2275,1
5926,0
2477,0
5591,1
3187,0
6107,0
5792,1
4424,1
6085,1
6609,1
3196,0
457,0
6137,1
6942,0
1393,0
1056,1
4789,1
3277,0
5045,0
1002,0
3505,0
6812,0
1242,0
3458,1
534,1
2184,1
2249,0
2663,0
3464,0
5525,0
1041,0
4842,1
5863,1
4325,0
3153,0
2168,1
4144,0
2594,0
2748,1
5995,0
6547,0
6004,0
6168,1
538,0
61,0
2815,1
1634,0
2302,0
